IDConsulta;Creation_Time;Index_Suggestions_Flag;Warnings_Flag;Table_Scan_Flag;Index_Scan_Flag;last_execution_time;last_worker_time;last_logical_reads;last_elapsed_time;Categoria
514;2025-02-28 06:46:35.293;0;1;0;1;2025-02-28 06:56:52.960;3099;16;3099;1
515;2025-02-28 06:45:38.663;0;0;0;1;2025-02-28 06:57:04.440;253;20;254;2
516;2025-02-28 06:57:09.217;0;0;0;1;2025-02-28 06:57:09.340;970;56;970;2
517;2025-02-28 06:46:20.563;0;0;0;1;2025-02-28 06:57:02.173;750700;47835;389809;1
518;2025-02-28 06:48:27.703;0;0;0;1;2025-02-28 06:57:17.507;75;2;76;2
519;2025-02-28 06:57:09.217;0;0;0;1;2025-02-28 06:57:11.080;644;56;645;2
520;2025-02-28 06:49:28.340;0;0;0;1;2025-02-28 06:57:27.450;296;3;297;2
521;2025-02-28 06:45:38.663;0;0;0;1;2025-02-28 06:57:31.023;267;20;268;2
554;2025-02-28 06:45:38.663;0;0;0;1;2025-02-28 06:59:21.680;223;20;223;2
1321;2025-02-28 07:34:29.240;0;0;0;1;2025-02-28 08:29:31.183;147;4;148;2
1322;2025-02-28 06:48:27.703;0;0;0;1;2025-02-28 08:29:43.193;87;2;87;2
1323;2025-02-28 06:48:27.710;0;0;0;1;2025-02-28 08:29:45.273;234104;47857;111171;1
1405;2025-02-28 06:45:38.663;0;0;0;1;2025-02-28 08:39:20.533;189;20;190;2
1406;2025-02-28 07:48:53.560;0;0;0;1;2025-02-28 08:39:21.470;373217;47835;126504;1
1407;2025-02-28 06:45:40.863;0;0;0;1;2025-02-28 08:39:30.540;2215;16;2217;1
1408;2025-02-28 06:51:44.733;0;0;0;1;2025-02-28 08:39:45.553;7572;16;7574;1
1409;2025-02-28 06:49:28.340;0;0;0;1;2025-02-28 08:39:51.643;312;3;312;2
1410;2025-02-28 06:46:39.220;0;0;0;1;2025-02-28 08:39:55.070;48;2;48;2
1411;2025-02-28 06:45:38.663;0;0;0;1;2025-02-28 08:39:55.073;165;20;165;2
1412;2025-02-28 06:52:51.153;0;0;0;1;2025-02-28 08:40:12.113;73;4;74;2
1413;2025-02-28 06:45:26.833;0;0;0;1;2025-02-28 08:40:13.820;38;2;38;2
1414;2025-02-28 07:32:37.407;0;0;0;1;2025-02-28 08:40:13.717;331839;47857;167190;1
1415;2025-02-28 06:56:58.210;0;0;0;1;2025-02-28 08:40:12.110;229980;47835;170573;1
1416;2025-02-28 06:48:27.710;0;0;0;1;2025-02-28 08:40:12.013;276640;47857;188011;1
1417;2025-02-28 06:52:51.153;0;0;0;1;2025-02-28 08:40:21.287;206;4;207;2
1418;2025-02-28 06:49:28.340;0;0;0;1;2025-02-28 08:40:28.223;196;3;196;2
1419;2025-02-28 06:53:11.200;0;1;0;1;2025-02-28 08:40:27.297;31773;633;31775;1
1420;2025-02-28 06:46:39.220;0;0;0;1;2025-02-28 08:40:40.130;40;2;41;2
1421;2025-02-28 06:48:44.267;0;1;0;1;2025-02-28 08:40:40.147;3108;16;3108;1
1422;2025-02-28 06:49:28.340;0;0;0;1;2025-02-28 08:40:49.393;543;3;543;2
1423;2025-02-28 06:46:58.277;0;0;0;1;2025-02-28 08:40:55.393;79;2;79;2
1424;2025-02-28 06:45:26.833;0;0;0;1;2025-02-28 08:41:03.407;124;2;125;2
1425;2025-02-28 06:49:28.340;0;0;0;1;2025-02-28 08:41:15.413;231;3;232;2
1426;2025-02-28 06:48:27.710;0;0;0;1;2025-02-28 08:41:28.427;317261;47857;125552;1
1427;2025-02-28 07:44:12.590;0;0;0;1;2025-02-28 08:41:38.440;414345;47835;159818;1
1428;2025-02-28 06:46:58.277;0;0;0;1;2025-02-28 08:41:56.570;60;2;60;2
1429;2025-02-28 07:34:29.240;0;0;0;1;2025-02-28 08:42:07.630;75;4;76;2
1430;2025-02-28 06:48:44.267;0;1;0;1;2025-02-28 08:42:16.660;6169;16;6171;1
1324;2025-02-28 06:45:26.833;0;0;0;1;2025-02-28 08:29:58.237;77;2;77;2
1325;2025-02-28 06:49:09.743;0;1;0;1;2025-02-28 08:29:53.207;883;16;884;1
1326;2025-02-28 07:32:37.390;0;1;0;1;2025-02-28 08:30:09.250;24565;3403;24567;1
1327;2025-02-28 06:47:29.627;0;0;0;1;2025-02-28 08:30:06.407;146;2;146;2
1328;2025-02-28 06:48:27.703;0;0;0;1;2025-02-28 08:30:17.417;170;2;170;2
1329;2025-02-28 07:33:15.803;1;0;0;1;2025-02-28 08:30:33.360;3909;61;3910;1
1330;2025-02-28 06:49:09.743;0;1;0;1;2025-02-28 08:30:48.683;450;16;450;1
1331;2025-02-28 07:33:44.840;0;0;0;1;2025-02-28 08:30:46.370;6511;1257;6513;1
1332;2025-02-28 06:49:09.743;0;1;0;1;2025-02-28 08:30:52.423;339;16;340;1
1333;2025-02-28 06:47:29.627;0;0;0;1;2025-02-28 08:31:03.630;85;2;85;2
1334;2025-02-28 07:35:53.357;0;1;0;1;2025-02-28 08:31:14.637;8080;16;8083;1
1335;2025-02-28 06:46:58.277;0;0;0;1;2025-02-28 08:31:28.743;48;2;48;2
1336;2025-02-28 07:32:37.390;0;1;0;1;2025-02-28 08:31:28.657;14497;3399;14498;1
1337;2025-02-28 06:46:39.220;0;0;0;1;2025-02-28 08:31:33.710;70;2;70;2
1338;2025-02-28 07:35:53.357;0;1;0;1;2025-02-28 08:31:39.730;1545;16;1546;1
1339;2025-02-28 06:50:23.883;0;0;0;1;2025-02-28 08:31:39.750;1687;1257;1688;1
1340;2025-02-28 06:49:28.340;0;0;0;1;2025-02-28 08:31:51.853;198;3;198;2
1341;2025-02-28 06:49:09.743;0;1;0;1;2025-02-28 08:31:51.850;251;16;251;1
1342;2025-02-28 06:47:29.627;0;0;0;1;2025-02-28 08:31:53.740;177;2;178;2
1343;2025-02-28 06:48:27.710;0;0;0;1;2025-02-28 08:31:51.760;322169;47857;119742;1
1344;2025-02-28 06:52:51.153;0;0;0;1;2025-02-28 08:32:01.890;214;4;215;2
1345;2025-02-28 06:50:23.883;0;0;0;1;2025-02-28 08:32:11.900;4241;1260;4243;1
1346;2025-02-28 06:45:38.663;0;0;0;1;2025-02-28 08:32:22.793;165;20;166;2
1347;2025-02-28 06:45:38.663;0;0;0;1;2025-02-28 08:32:31.820;158;20;158;2
1348;2025-02-28 06:49:28.340;0;0;0;1;2025-02-28 08:32:42.500;201;3;202;2
1349;2025-02-28 06:49:09.743;0;1;0;1;2025-02-28 08:32:42.507;315;16;315;1
1350;2025-02-28 07:33:44.840;0;0;0;1;2025-02-28 08:32:44.863;3808;1260;3809;1
1351;2025-02-28 06:48:27.703;0;0;0;1;2025-02-28 08:32:59.367;278;2;279;2
1352;2025-02-28 07:32:37.390;0;0;0;1;2025-02-28 08:33:00.220;6957;16;6958;1
1353;2025-02-28 07:44:12.590;0;0;0;1;2025-02-28 08:32:55.080;327058;47835;131896;1
1354;2025-02-28 07:33:15.803;1;0;0;1;2025-02-28 08:33:09.233;15283;61;15285;1
1355;2025-02-28 06:49:09.743;0;1;0;1;2025-02-28 08:33:05.373;901;16;902;1
1356;2025-02-28 06:49:09.743;0;1;0;1;2025-02-28 08:33:27.270;864;16;865;1
1357;2025-02-28 06:46:05.510;0;0;0;1;2025-02-28 08:33:33.520;710;16;711;2
1358;2025-02-28 06:45:38.663;0;0;0;1;2025-02-28 08:33:31.410;435;20;436;2
1359;2025-02-28 07:33:44.840;0;0;0;1;2025-02-28 08:33:33.527;2369;1260;2370;1
1360;2025-02-28 06:46:39.220;0;0;0;1;2025-02-28 08:33:48.493;66;2;66;2
1361;2025-02-28 07:32:37.390;0;1;0;1;2025-02-28 08:33:48.433;25916;3399;25918;1
1362;2025-02-28 06:53:11.200;0;1;0;1;2025-02-28 08:33:53.500;38158;633;38161;1
1363;2025-02-28 06:48:27.703;0;0;0;1;2025-02-28 08:34:00.627;44;2;44;2
1364;2025-02-28 06:45:38.663;0;0;0;1;2025-02-28 08:34:00.623;153;20;153;2
1365;2025-02-28 07:36:39.670;0;0;0;0;2025-02-28 08:34:00.567;21;0;22;2
1366;2025-02-28 07:35:53.357;0;1;0;1;2025-02-28 08:34:08.377;5563;16;5564;1
1367;2025-02-28 06:47:29.627;0;0;0;1;2025-02-28 08:34:14.667;93;2;93;2
1368;2025-02-28 07:33:15.803;1;0;0;1;2025-02-28 08:34:28.603;3861;61;3862;1
1369;2025-02-28 06:48:27.710;0;0;0;1;2025-02-28 08:34:23.860;391038;47857;145131;1
1370;2025-02-28 06:48:27.710;0;0;0;1;2025-02-28 08:34:34.017;308156;47857;130985;1
1371;2025-02-28 06:48:27.703;0;0;0;0;2025-02-28 08:34:43.157;60;0;61;2
1372;2025-02-28 06:49:28.340;0;0;0;1;2025-02-28 08:34:58.300;215;3;216;2
1373;2025-02-28 06:47:29.627;0;0;0;1;2025-02-28 08:35:07.900;91;2;92;2
1374;2025-02-28 06:46:05.510;0;0;0;1;2025-02-28 08:35:11.773;997;16;997;2
1375;2025-02-28 06:45:26.833;0;0;0;1;2025-02-28 08:35:11.770;45;2;45;2
1376;2025-02-28 06:56:58.210;0;0;0;1;2025-02-28 08:35:11.653;236572;47484;1415025;1
1377;2025-02-28 06:47:29.627;0;0;0;1;2025-02-28 08:35:28.130;171;2;172;2
1378;2025-02-28 06:45:40.863;0;0;0;1;2025-02-28 08:35:23.940;1122;16;1123;1
1379;2025-02-28 06:45:26.833;0;0;0;1;2025-02-28 08:35:34.950;124;2;125;2
1380;2025-02-28 06:46:39.220;0;0;0;1;2025-02-28 08:35:46.147;88;2;88;2
1381;2025-02-28 06:48:27.713;0;0;0;1;2025-02-28 08:35:46.977;389109;47835;127648;1
1382;2025-02-28 07:32:37.407;0;0;0;1;2025-02-28 08:35:41.140;606;16;606;2
1383;2025-02-28 06:51:44.733;0;0;0;1;2025-02-28 08:35:57.110;3269;16;3270;1
1384;2025-02-28 06:49:09.743;0;1;0;1;2025-02-28 08:36:07.120;851;16;853;1
1385;2025-02-28 07:32:37.407;0;0;0;1;2025-02-28 08:36:36.450;1049;16;1050;1
1386;2025-02-28 06:45:40.863;0;0;0;1;2025-02-28 08:36:42.157;1608;16;1609;1
1387;2025-02-28 06:49:28.340;0;0;0;1;2025-02-28 08:37:10.683;194;3;194;2
1388;2025-02-28 06:49:09.743;0;1;0;1;2025-02-28 08:37:09.217;393;16;393;1
1389;2025-02-28 06:53:11.200;0;1;0;1;2025-02-28 08:37:20.227;29878;633;30074;1
1390;2025-02-28 06:49:09.743;0;1;0;1;2025-02-28 08:37:29.263;851;16;851;1
1391;2025-02-28 07:48:53.560;0;0;0;1;2025-02-28 08:37:25.777;490204;47835;164564;1
1392;2025-02-28 06:46:58.277;0;0;0;1;2025-02-28 08:37:42.050;52;2;52;2
1393;2025-02-28 07:34:29.240;0;0;0;1;2025-02-28 08:37:58.890;185;4;186;2
1394;2025-02-28 07:32:37.407;0;0;0;1;2025-02-28 08:38:07.003;550;16;550;2
1395;2025-02-28 06:49:09.743;0;1;0;1;2025-02-28 08:38:00.303;385;16;385;1
1396;2025-02-28 06:45:38.663;0;0;0;1;2025-02-28 08:38:12.313;162;20;163;2
1397;2025-02-28 06:46:39.220;0;0;0;1;2025-02-28 08:38:24.947;44;2;45;2
1398;2025-02-28 06:51:44.733;0;0;0;1;2025-02-28 08:38:24.950;1905;16;1905;1
1399;2025-02-28 06:47:09.163;0;0;0;1;2025-02-28 08:38:24.900;2440;38;2441;1
1400;2025-02-28 06:45:26.833;0;0;0;1;2025-02-28 08:38:33.050;111;2;111;2
1401;2025-02-28 06:48:27.703;0;0;0;1;2025-02-28 08:38:46.503;110;2;110;2
1402;2025-02-28 07:32:37.390;0;1;0;1;2025-02-28 08:38:41.107;9285;3403;16329;1
1403;2025-02-28 06:45:40.863;0;0;0;1;2025-02-28 08:38:52.510;1925;16;1926;1
1404;2025-02-28 07:48:53.560;0;0;0;1;2025-02-28 08:39:08.320;426919;47835;142931;1
1488;2025-02-28 06:49:28.340;0;0;0;1;2025-02-28 08:49:57.843;714;3;715;2
1489;2025-02-28 06:45:38.663;0;0;0;1;2025-02-28 08:49:56.713;505;20;506;2
1490;2025-02-28 06:46:39.220;0;0;0;1;2025-02-28 08:50:08.727;139;2;140;2
1491;2025-02-28 06:48:27.703;0;0;0;1;2025-02-28 08:50:01.720;181;2;182;2
1492;2025-02-28 06:56:58.210;0;0;0;1;2025-02-28 08:50:14.860;355517;47835;124723;1
1493;2025-02-28 06:51:44.733;0;0;0;1;2025-02-28 08:50:14.977;1513;16;1513;1
1494;2025-02-28 06:46:39.220;0;0;0;1;2025-02-28 08:50:29.997;88;2;89;2
1495;2025-02-28 07:34:29.240;0;0;0;1;2025-02-28 08:50:46.807;140;4;141;2
1496;2025-02-28 06:56:58.210;0;0;0;1;2025-02-28 08:50:43.007;329927;47835;318347;1
1497;2025-02-28 06:49:09.743;0;1;0;1;2025-02-28 08:50:53.333;893;16;894;1
1498;2025-02-28 07:48:53.560;0;0;0;1;2025-02-28 08:50:57.817;528674;47835;163719;1
1499;2025-02-28 06:49:28.340;0;0;0;1;2025-02-28 08:51:20.213;186;3;186;2
1500;2025-02-28 07:33:44.840;0;0;0;1;2025-02-28 08:51:20.217;2247;1257;2247;1
1501;2025-02-28 06:51:44.733;0;0;0;1;2025-02-28 08:51:18.373;4030;16;4031;1
1536;2025-02-28 06:46:58.277;0;0;0;1;2025-02-28 08:54:44.503;86;2;86;2
1537;2025-02-28 06:52:51.153;0;0;0;1;2025-02-28 08:54:42.520;90;4;91;2
1431;2025-02-28 07:48:53.560;0;0;0;1;2025-02-28 08:42:17.640;381637;47835;128507;1
1432;2025-02-28 07:48:53.560;0;0;0;1;2025-02-28 08:42:28.777;486392;47835;144714;1
1433;2025-02-28 06:47:29.627;0;0;0;1;2025-02-28 08:42:37.930;182;2;183;2
1434;2025-02-28 06:45:26.833;0;0;0;1;2025-02-28 08:42:40.890;120;2;121;2
1435;2025-02-28 07:34:29.240;0;0;0;1;2025-02-28 08:42:52.170;142;4;142;2
1436;2025-02-28 06:45:40.863;0;0;0;1;2025-02-28 08:42:55.923;1604;16;1605;1
1437;2025-02-28 06:52:51.153;0;0;0;1;2025-02-28 08:43:10.277;71;4;71;2
1438;2025-02-28 06:46:39.220;0;0;0;1;2025-02-28 08:43:10.280;46;2;47;2
1439;2025-02-28 07:44:12.590;0;0;0;1;2025-02-28 08:43:07.183;314635;47835;117894;1
1440;2025-02-28 07:32:37.407;0;0;0;1;2025-02-28 08:43:21.327;364473;47857;152800;1
1441;2025-02-28 06:50:23.790;1;0;0;1;2025-02-28 08:43:30.690;13622;61;13625;1
1442;2025-02-28 06:48:27.710;0;0;0;1;2025-02-28 08:43:35.743;245956;47857;119529;1
1443;2025-02-28 06:48:27.703;0;0;0;1;2025-02-28 08:43:43.870;63;2;64;2
1444;2025-02-28 06:45:26.833;0;0;0;1;2025-02-28 08:43:43.550;80;2;80;2
1445;2025-02-28 06:48:27.703;0;0;0;1;2025-02-28 08:44:16.597;160;2;160;2
1446;2025-02-28 06:45:26.833;0;0;0;1;2025-02-28 08:44:29.927;129;2;130;2
1447;2025-02-28 06:46:39.220;0;0;0;1;2025-02-28 08:44:39.617;186;2;187;2
1448;2025-02-28 06:48:27.713;0;0;0;1;2025-02-28 08:44:34.933;413931;47835;126476;1
1449;2025-02-28 07:36:39.670;0;0;0;0;2025-02-28 08:44:31.607;42;0;42;2
1450;2025-02-28 06:48:27.710;0;0;0;1;2025-02-28 08:44:48.070;334841;47857;128208;1
1451;2025-02-28 07:32:37.390;0;1;0;1;2025-02-28 08:44:53.673;17663;3399;17664;1
1452;2025-02-28 07:32:37.390;0;1;0;1;2025-02-28 08:45:17.710;10546;3399;10547;1
1453;2025-02-28 06:50:23.790;1;0;0;1;2025-02-28 08:45:12.220;15813;61;15815;1
1454;2025-02-28 06:48:27.703;0;0;0;1;2025-02-28 08:45:26.413;60;2;60;2
1455;2025-02-28 06:56:58.210;0;0;0;1;2025-02-28 08:45:26.460;230637;47505;1372838;1
1456;2025-02-28 07:48:53.560;0;0;0;1;2025-02-28 08:45:50.010;513327;47835;151612;1
1457;2025-02-28 07:33:44.840;0;0;0;1;2025-02-28 08:45:50.040;3570;1257;4191;1
1458;2025-02-28 06:45:26.833;0;0;0;1;2025-02-28 08:46:05.837;111;2;112;2
1459;2025-02-28 07:33:44.840;0;0;0;1;2025-02-28 08:46:02.173;6483;1260;6484;1
1460;2025-02-28 07:35:53.357;0;1;0;1;2025-02-28 08:46:10.213;5325;16;5326;1
1461;2025-02-28 06:46:58.277;0;0;0;1;2025-02-28 08:46:13.843;139;2;140;2
1462;2025-02-28 06:45:26.833;0;0;0;1;2025-02-28 08:46:13.843;187;2;188;2
1463;2025-02-28 06:45:26.833;0;0;0;1;2025-02-28 08:46:23.853;105;2;105;2
1464;2025-02-28 06:50:23.790;1;0;0;1;2025-02-28 08:46:23.850;9528;61;9530;1
